NOT_ID,POLL_TYPE,POLLUTANT
971213,Specific Waste Materials,Commercial Waste
971213,Specific Waste Materials,Household Waste
971213,Specific Waste Materials,Metal Wastes
984774,Agricultural Materials and Wastes,Slurry and Dilute Slurry
984774,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
988456,Specific Waste Materials,Other Specific Waste Material
993698,Contaminated Water,Other Contaminated Water
958993,Atmospheric Pollutants and Effects,Other Odour
998942,Oils and Fuel,Diesel
1004491,Atmospheric Pollutants and Effects,Smoke
1004491,Specific Waste Materials,Commercial Waste
1004491,Specific Waste Materials,Household Waste
1005170,Pollutant Not Identified,Not Identified
1010968,Oils and Fuel,Mixed/Waste Oils
994170,Atmospheric Pollutants and Effects,Other Odour
999494,Agricultural Materials and Wastes,Slurry and Dilute Slurry
999512,Sewage Materials,Crude Sewage
1004857,Sewage Materials,Crude Sewage
1004494,Pollutant Not Identified,Not Identified
1005648,Oils and Fuel,Kerosene and Aviation Fuel
1011770,Specific Waste Materials,Commercial Waste
1012103,Contaminated Water,Suspended Solids
1012152,Atmospheric Pollutants and Effects,Chemical Odour
1012291,Atmospheric Pollutants and Effects,Chemical Odour
1006874,Agricultural Materials and Wastes,Silage Liquors
994179,Agricultural Materials and Wastes,Other Agricultural Material or Waste
999982,Organic Chemicals/Products,Solvents
994989,Sewage Materials,Other Sewage Material
997347,Inorganic Chemicals/Products,Heavy Metals
1005796,Sewage Materials,Crude Sewage
988960,Agricultural Materials and Wastes,Slurry and Dilute Slurry
1012689,Atmospheric Pollutants and Effects,Chemical Odour
1008478,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
1013007,Other Pollutant,Other
1013045,Sewage Materials,Crude Sewage
1012574,Atmospheric Pollutants and Effects,Chemical Odour
1002426,Oils and Fuel,Kerosene and Aviation Fuel
995265,Contaminated Water,Firefighting Run-Off
995265,Organic Chemicals/Products,Hydrocarbons
995265,Organic Chemicals/Products,Solvents
995274,Sewage Materials,Crude Sewage
1001103,Other Pollutant,Microbiological
1006672,Agricultural Materials and Wastes,Silage Liquors
1006672,Agricultural Materials and Wastes,Slurry and Dilute Slurry
1006741,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
1012652,Pollutant Not Identified,Not Identified
1013378,Atmospheric Pollutants and Effects,Other Odour
1012782,Atmospheric Pollutants and Effects,Other Odour
995586,General Biodegradable Materials and Wastes,Algae
995694,Other Pollutant,Microbiological
994201,Other Pollutant,Flies
996033,Oils and Fuel,Gas and Fuel Oils
1001434,Atmospheric Pollutants and Effects,Other Odour
1001195,Organic Chemicals/Products,Pesticides and Biocides
1001029,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
1006903,Pollutant Not Identified,Not Identified
1007251,Atmospheric Pollutants and Effects,Chemical Odour
1007442,Sewage Materials,Crude Sewage
994422,Inorganic Chemicals/Products,Other Inorganic Chemical or Product
995044,Agricultural Materials and Wastes,Slurry and Dilute Slurry
992603,Pollutant Not Identified,Not Identified
1002347,Agricultural Materials and Wastes,Slurry and Dilute Slurry
992344,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
992344,Inert Materials and Wastes,Soils and Clay
1006941,Other Pollutant,Microbiological
994729,Agricultural Materials and Wastes,Silage Liquors
1002244,Agricultural Materials and Wastes,Slurry and Dilute Slurry
992372,Other Pollutant,Flies
941688,General Biodegradable Materials and Wastes,Food and Drink
948151,Sewage Materials,Crude Sewage
974229,General Biodegradable Materials and Wastes,Food and Drink
974229,Organic Chemicals/Products,Surfactants and Detergents
979640,Oils and Fuel,Other Oil or Fuel
979657,Pollutant Not Identified,Not Identified
976527,Sewage Materials,Crude Sewage
921376,Atmospheric Pollutants and Effects,Other Odour
974944,Agricultural Materials and Wastes,Slurry and Dilute Slurry
968092,Atmospheric Pollutants and Effects,Fumes
968092,Atmospheric Pollutants and Effects,Smoke
979053,Other Pollutant,Other
